"sku","description","price","currency","family","status"
"PNM-8082VT","Powered by WN7, 2MP x 3CH @ 30FPS, multi directional camera, 3~6mm motorized varifocal lens, donut shape bubble, max 321º coverage, Triple codec H.264/265 MJPEG, WiseStream II, extreme WDR 150dB, defocus detection, video analytics, 2x microSD card, PoE+, IP66, IK10, NEMA4X, operating temp -40°C~+55°C","2227.0","CAD","Cameras","active"
"PNM-9031RV","Network vandal outdoor Multi-sensor dome camera, panoramic view with stitched image, (5MP X 4 sensors) 15MP @ 20fps, triple codec H.265/H.264/MJPEG with WiseStream II technology, WDR 120dB, IR viewable length 20m (65.5'), built in video analytics and sound classification, Heatmap, Bi-directional audio support, Micro SD 2 slots, IP66/IK10/NEMA4X, TPM 2.0 (FIPS 140-2 level 2), PoE+/12VDC","3537.0","CAD","Audio and power accessories","active"
"PNM-C9022RV","Panoramic Multi-sensor camera, FoV: H209º, V:60°, 8MP @ 20fps, Alpha Blending, triple codec H.265/H.264/MJPEG with WiseStream III technology, extreme WDR 120dB, Wise NR II, IR viewable length 65' (20m), Analytics events based on AI engine: Object detection (Person/Vehicle), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), defocus detection, Micro USB for easy installation, 2 x Micro SD cards (512GB each), PoE+/12VDC, IP66/IK10/NEMA4X, TPM 2.0 (FIPS 140-2 level 2). OnCloud Compatible.","2685.5","CAD","Audio and power accessories","active"
"PNM-9022V","WN7 Panoramic Multi-sensor camera, 180º view, (2MP X 4 sensors) 7.3MP @ 30fps, panoramic 209º view, 8.3MP, triple codec H.265/H.264/MJPEG with WiseStream II technology, extreme WDR 120dB, defocus detection, built in analytics, Heatmap, Micro USB for easy installation, 2 x Micro SD cards PoE+, IP66/IK10/NEMA4X","2358.0","CAD","Audio and power accessories","active"
"PND-A9081RF","4K Network AI IR Dome Camera, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB), H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine). Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -25 °C ~ 50 °C(-13°F ~ +122°F), PoE+/12VDC, IP52, IK10, Plenum rated","2554.5","CAD","Software and licensing","active"
"PND-A9081RVX","4K Network AI IR Indoor Camera Module, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB), H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine). Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature (When using the camera with housing): -25 °C ~ 50 °C(-13°F ~ +122°F), PoE+/12VDC. OnCloud Compatible.","2240.1","CAD","Software and licensing","active"
"PND-A9081RV","4K Network AI IR Dome Camera, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB), H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine). Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -25 °C ~ 50 °C(-13°F ~ +122°F), PoE+/12VDC. OnCloud Compatible.","2554.5","CAD","Software and licensing","active"
"PNV-A9081RX","4K Network AI IR Outdoor Camera Module, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB) H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature (When using the camera with housing): -40°C~+55°C(-40°F ~ +131°F), Power: PoE+/12VDC, Metal shielded RJ-45. OnCloud Compatible.","2240.1","CAD","Software and licensing","active"
"PNV-A9081R","4K Network AI IR Vandal Dome Camera, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB) H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -40°C~+55°C(-40°F ~ +131°F), Power: PoE+/12VDC, Metal shielded RJ-45, IP66/IP67/IP6K9K, IK10+, NEMA4X. OnCloud Compatible.","2816.5","CAD","Software and licensing","active"
"PNO-A9311R","4K Network AI IR Bullet Camera, Max. 4K resolution @ 30FPS, 0.075Lux@F1.36 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 6.91~214.7mm (31x) zoom lens, WDR(120dB) H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Video Analytics based on AI [Object detection and classification (Person, Face, Vehicle, License plate), Face mask detection, Social distancing detection, Slip&Fall detection, Attribute, BestShot] People counting, Vehicle counting, Crowd counting, Queue management, Heatmap based on AI, TPM with FIPS 140-2 level2, Secure boot, Verify firmware forgery, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -40°C~+55°C(-40°F ~ +131°F), Power: PoE+/12VDC, Metal shielded RJ-45, IP66/IP67, IK10, NEMA4X. OnCloud Compatible.","3340.5","CAD","Software and licensing","active"
"PNO-A9081R","4K Network AI IR Bullet Camera, Max. 4K resolution @ 30FPS, 0.05Lux@F1.6 (Color), 0Lux (B/W, IR LED on), Day & Night(ICR), 4.5~10mm(2.2x) motorized varifocal lens, WDR(120dB) H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -40°C~+55°C(-40°F ~ +131°F), Power: PoE+/12VDC, Metal shielded RJ-45, IP66/IP67/IP6K9K, IK10+, NEMA4X. OnCloud Compatible.","2685.5","CAD","Software and licensing","active"
"PNB-A9001","4K AI Network Box Camera, Max. 4K resolution, 0.03Lux@F1.2(Color), Day & Night(ICR), WDR(120dB) H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Video Analytics based on AI [ Object detection and classification (Person, Face, Vehicle, License Plate), Face mask detection, Social distancing detection, Attribute, BestShot] People counting, Heatmap, Queue management based on AI, Face Mask Detection, Social Distancing Detection, Compatible with Wisenet Retail Insight v2.0 for Business Intelligence, Age/gender based People counting, Heatmap, Queue management, 2x micro SD card (512GB x2),  Power: PoE+/12VDC, OnCloud Compatible.","1965.0","CAD","Software and licensing","active"
"XNP-C9303RW","Powered by WN7 PTZ Plus with AI, 4K @ 30FPS resolution, 5mm~150mm (30x) lens, build in wiper and adaptive Wise IR (200m),  extreme WDR 120dB, Day & Night ICR, H.265, H.264, MJPEG codec support, Analytics events based on AI engine: Object detection (Person/Face/Vehicle/License plate), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Analytics events: Defocus detection, Motion detection, Tampering, Fog detection, Audio detection, Sound classification (with NW I/O box), Object auto-tracking (Person/Vehicle), Target lock track, BLC, HLC, SSDR, lens heater for water/snow removal, built-in SD card slot (2x512GB), IP66, IK10, NEMA4X, NEMA-TS 2(2.2.7, 2.2.8, 2.2.9),  FIPS 140-2, PoE++/HPoE injector included, Operating Temperature -40°C~+55°C(-40°F ~ +131°F), (Compatible with I/O Box SPM-4210). OnCloud Compatible.","6681.0","CAD","Software and licensing","active"
"XNP-9300RW","Powered by WN7, 4K @ 30FPS resolution, 5mm~150mm (30x) lens, build in wiper and adaptive Wise IR (200m),  extreme WDR 120dB, Day & Night ICR, H.265, H.264, MJPEG codec support, Intelligent Analytics, Object auto tracking (Person/Vehicle), Target lock track, BLC, HLC, SSDR, lens heater for water/snow removal, built-in SD card slot (2x512GB), IP66, IK10(Camera body only), NEMA4X, NEMA-TS 2 (2.2.7, 2.2.8, 2.2.9), PoE++/HPoE injector included, Operating Temperature -40°C~+55°C(-40°F ~ +131°F), (Compatible with I/O Box SPM-4210)","6419.0","CAD","Power Supply","active"
